mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,spectral_contrast,zero_crossing_rate,rms_energy,label
-197.15855,58.12646,-64.40608,-43.88878,-46.982906,-13.907009,-7.480258,4.766052,-9.611676,-4.353959,-9.720566,-5.4751062,-11.527965,2707.9255733734435,2288.188209937287,5061.281516335227,0.06719992,17.63813544799405,0.12726384943181818,0.07384338,Clap
-191.2222,-44.00025,-64.89826,-22.546198,-14.142677,-2.5303266,-8.950328,-0.19123554,-1.3027462,3.209634,0.32680252,3.2991579,-3.4256427,4785.691359136009,2801.594069377555,8307.2021484375,0.30543423,16.481713643774732,0.28941127232142855,0.08273624,Clap
-174.61705,38.705387,-46.192146,-39.925377,-35.974686,-16.924635,-12.179223,-3.4361258,-9.43355,-3.3031282,-5.222819,-2.3532147,-3.7893467,3540.5273075873843,2709.7532246642186,6745.27587890625,0.1731694,17.094695036356963,0.1629638671875,0.07543928,Clap
-145.55956,-0.7504821,-65.61103,-21.747986,-27.608503,-1.9091972,-9.163928,0.64621377,-7.332131,-5.6216855,-11.441353,-6.3735313,-8.519,3937.1160655747085,2632.783040766957,7120.3125,0.21181698,14.817507401409728,0.22119140625,0.107169725,Clap
-168.73158,-42.02484,-74.32201,-29.753172,-32.33498,-8.640428,-24.072865,-11.242472,-14.185453,-4.351192,-11.183487,-7.30667,-11.819376,4555.000394914076,2652.7872642090747,7750.4150390625,0.2548302,16.028776668127097,0.28941127232142855,0.09265325,Clap
-159.32986,30.818394,-60.257126,-8.467722,-23.859661,-6.2027197,-10.58611,-4.187216,-11.680259,-3.8757272,-10.891131,-7.589816,-11.307475,3409.014652171702,2483.9277301184557,6258.087158203125,0.14374876,17.547820014057002,0.20416259765625,0.08385014,Clap
-184.06435,32.9465,-78.59345,8.766445,-4.8060985,-6.2213817,-16.18022,-3.1888247,-10.522726,-3.4236922,-8.628789,-5.1038647,-9.724432,3098.46970566713,2141.827682107582,5218.865411931818,0.07648286,18.213817470313867,0.1968661221590909,0.069657266,Clap
-217.71484,-23.216272,-56.363346,6.951047,-15.830148,-11.76139,-18.948349,-10.67971,-15.814825,-9.313624,-14.0287895,-9.269861,-13.496127,4367.007711712109,2539.548272972029,7415.625,0.22354192,18.431203938555488,0.3303106398809524,0.03661322,Clap
-74.50365,1.8738772,-59.435932,-23.000463,-25.49273,-17.803528,-23.114996,-19.451014,-18.457134,-8.845994,-8.703712,-1.5769281,-8.028274,4006.5622690694386,2777.9045660726624,7586.865234375,0.2253787,17.19919575725004,0.21638997395833334,0.12204064,Clap
-73.44729,19.051205,-17.810183,-15.845428,-21.62557,-18.452148,-19.733885,-16.346369,-18.537956,-11.203959,-13.021748,-5.9442697,-8.241407,4460.484575890609,3139.3314709137962,8539.70947265625,0.30595705,16.80589463354451,0.23933919270833334,0.1234143,Clap
-150.69875,17.992857,-62.11475,-47.848003,-42.891315,-18.451578,-8.211816,-3.1297767,-1.7354046,-5.420098,-13.605362,-8.358797,-14.583218,3582.7343885100577,2868.8154077860686,7337.43896484375,0.13184741,17.02481689114083,0.155029296875,0.10166747,Clap
-110.66892,-46.445316,-73.77183,-17.641998,-10.517013,-9.3681555,-17.744051,-7.3688006,-7.1239057,-8.394433,-4.219397,0.9630911,-6.168159,4602.303346842074,2748.4680057725122,8182.6171875,0.25323963,15.632442534838711,0.2587076822916667,0.10436473,Clap
-105.15991,29.18423,-63.846832,-31.859371,-35.0161,-7.1457033,-12.021765,-9.176444,-15.189043,-5.1320705,-10.037828,-3.0440176,-6.317297,3430.5903736932787,2530.7847415855476,6384.5947265625,0.14630568,16.73069769491694,0.176123046875,0.12565044,Clap
-162.64859,-47.157898,-55.84674,3.98109,-29.187513,-25.878242,-17.735506,-12.475756,-17.565672,-5.629979,-11.967168,-7.145463,-4.887539,4662.247714286326,2540.518017137667,7787.841796875,0.21656391,16.90895468655195,0.3071831597222222,0.102866784,Clap
-198.67422,12.6092825,-74.59346,-69.94039,-55.197834,-17.104198,-24.191391,-9.592957,-13.915025,-7.794871,-11.700922,-1.9697722,-6.097862,3424.2548889022682,2776.938748155872,6982.375169836957,0.09057204,19.03924550560481,0.17474099864130435,0.051317297,Clap
-215.59842,-44.929768,-60.35055,-13.638617,-15.070539,-18.833693,-10.81531,-5.071602,-14.520376,-8.993568,-8.885393,-5.6199026,-10.231269,4875.453356365593,2812.8874624408804,8556.13544170673,0.27473202,17.700844298798106,0.3498347355769231,0.05099312,Clap
